Date,Email,"Question 1: Comment trouvez-vous la page d'accueil du site sur une échelle de 0 à 10 ?","Question 2: Vous avez découvert la page depuis un ordinateur ou un mobile ?","Question 3: Avez-vous des retours à nous partager sur cette première version de la page d'accueil ?"
"2021-03-04 11:49:52",,8,Mobile,
"2021-03-04 11:57:26",,7,Mobile,"Plutôt jolie mais il manque des informations concernant les premiers produits commercialisés : on ne connaît pas la composition, l'odeur à laquelle on peut s'entendre, etc. "
"2021-03-04 12:58:54",,5,Mobile,"Il faut pouvoir identifier rapidement le concept. Graphiquement c'est bien, maintenant il faudrait une phrase du type ""vos produits de soin, sain et à prix coûtant""..  enfin expliciter ce pour quoi le site existe."
"2021-03-04 13:02:33",,9,Mobile,"La page est sobre, légère, elle ressemble bien à l'image que vous donnez de l'entreprise sur les autres réseaux, tel Instagram. "
"2021-03-04 13:19:16",,8,Ordinateur,"Pas grand chose à dire (j'y suis pas resté longtemps j'avoue) mais je remplis juste ça pour vous signaler que:
- Feuille d'aloe, sans accent sur le e de ""aloe"" (vu sur une de vos photos)
- Aloe vera, un seul r à ""vera"" (idem)
Bonne continuation !"
"2021-03-04 13:53:17",,9,Mobile,"Sobre, c'est bien. "
"2021-03-04 14:05:05",,9,Mobile,
"2021-03-04 14:38:57",,8,Ordinateur,"'- Joli visuel (mais un peu dommage la brosse à dent en plastique et bouchons des bouteilles en verre)
- Epuré dans le bon sens, esthétique
- Menu écrit trop fin, pas assez lisible
--> quid de l'écoconception du site ?"
"2021-03-04 14:39:30",,10,Ordinateur,"Bravo jolie et efficace, navigation facile."
"2021-03-04 18:45:47",,10,Ordinateur,
"2021-03-08 09:00:20",,8,Ordinateur,
"2021-03-14 19:39:53",,6,Ordinateur," je sais qu'il s'agit d'un choix d'utiliser une police à empattement mais je trouve qu'il est un peu difficile de lire le texte parfois (epaisseur du trait ? manque de marge avec les images / manque de  contraste du texte en haut sur image de la page d'accueil / problème de survol sur le bouton ""en savoir plus -> il disparait quasiment et devient illisible lors du survol - généralement c'est l'inverse lors du survol on force le contraste ;))"
"2021-03-16 10:56:48",,9,Ordinateur,"Je le trouve très claire et cohérente avec l'image de la marque : simple, qualitative, épurée et efficace :)"
"2021-03-22 12:42:43",,4,Mobile,
