,Pays,Talking About,ISO 3
0,Allemagne,2,DEU
1,Australie,2,AUS
2,Austria,1,AUT
3,Belgique,8,BEL
4,Canada,2,CAN
5,Espagne,3,ESP
6,France,1857,FRA
7,Grèce,1,GRC
8,India,2,IND
9,Irlande,1,IRL
10,Italie,1,ITA
11,Liban,1,LBN
12,Madagascar,2,MDG
13,Mauritius,14,MUS
14,Mexique,5,MEX
15,Nouvelle-Calédonie,1,NCL
16,Nouvelle-Zélande,3,NZL
17,Pays-Bas,1,NLD
18,Philippines,1,PHL
19,Poland,1,POL
20,Portugal,5,PRT
21,Roumanie,1,ROU
22,Royaume-Uni,18,GBR
23,Singapour,2,SGP
24,Suisse,2,CHE
25,Sénégal,6,SEN
26,États-Unis,1,USA
